;sentence;is_claim;to_exclude
0;Ärger über Gasmasken-Eklat Samstag, 1 Juli, 122 Uhr: In der AfD regt sich Unmut über den provozierenden Gasmasken-Auftritt des Landtagsabgeordneten Stefan Löw im Plenum;1;0
1;Dabei hatte die Projektleitung eigentlich ein paar Erfolge seit dem vergangenen Treffen im September zu berichten;0;0
2;Trotz der beiden Bike-Lanes ist der Verkehr auf den verbliebenen vier Fahrspuren so heftig und laut, dass die von Husein befürchtete Autofreiheit der Stadt weder unmittelbar droht noch überhaupt als Drohung erscheint;1;0
3;Interessant ist, dass es der Civey-Umfrage zufolge für mögliche neue Restriktionen quer durch alle Altersgruppen Zustimmung gäbe;1;0
4;Die Salzburger Festspiele aber haben sich zumindest in ihrem ersten Pas de deux mit der Seuche glänzend geschlagen;0;0
5;2014 erschien die Piano-Solo-CD „It’s my way to paradise“;1;0
6;"Er forderte Studierende der Medizin und kürzlich verrentete Medizinerinnen und Mediziner auf, in dieser ""besonderen Lage"" in die Krankenhäuser zurückzukehren";1;0
7;;2;1
8;70 Prozent der Bewohner seien arbeitslos, überlebten mit Tagesjobs und Schwarzarbeit, sagt Ruipérez;1;0
9;Wladimir Putin hat am Dienstag per Videoschalte aus Moskau anlässlich der 7 UN-Generalversammlung eine Rede gehalten;1;0
10;Das Abschiebeverbot gelte immer dann, wenn die Kläger bereits in Griechenland als Flüchtlinge anerkannt worden waren;1;0
11;Das lässt sich zum Teil mit der veränderten Risikowahrnehmung erklären;0;0
12;Dessen Autorinnen wurden regelmäßig von Meyer attackiert („Giftnattern“, „dummdreiste Art“, „minderbeschäftige (sic\.), minderkompetente Berlinerinnen“, „Köroerandiemedienverkäuferin (sic\.)“);1;0
13;Gemeinsame Urlaube, die Paare sonst zusammenbringen, fielen weg;0;0
14;Das wird nämlich nicht passieren, ganz egal, wieviel Kreide der Parteivorsitzende der vormaligen Alternative für Deutschland noch frißt, um sich nicht als der Wolf karikieren lassen zu müssen, der die lieben Schlafschäfchen in der ach-so-einwandfreien Demokratie frißt;0;0
15;Dabei geht es um die vermutlich letzte Chance, die Feinde des Rechtsstaats in Ungarn und Polen sowie deren Nachahmer nachhaltig in die Schranken zu weisen;0;0
16;Ähnlich sieht es beim Verfassungsgericht aus, in dem fast alle der 15 Richter von Fidesz und deren Satellitenpartei, der KDNP nominiert und ohne Zustimmung der Opposition gewählt wurden;1;0
17;Videoaufnahmen zeigten die demokratische Aktivistin Michele Hangley, die sich gegenüber der republikanischen Anwältin Pam Bondi weigerte, den Gerichtsbeschluss zu befolgen;1;0
18;In seiner ersten Sprachnachricht verteidigte Wendler seine Kritik an den staatlichen Corona-Maßnahmen;1;0
19;Wie Borgo sagte, finden die meisten Ansteckungen im Familienkreis, in der Arbeit und im privaten Umfeld statt, teilweise werden sie auch aus anderen Landkreisen eingetragen;1;0
20;"Die sollten alle Kulturschaffenden erhalten, die dem Virus selbstaufopfernd trotzen: Ben Davids Kulturlieferdienst, der die erste Post-Lockdown-Show auf Münchens Straßen stellte und am 2 Oktober bereits die 5 bietet: Jean-D'azz am Hans-Mielich-Platz; Hans-Georg Stocker, der in seinem Backstage Rock-Medizin gegen Sars-CoV-2 verabreicht; oder Till Hofmann, dessen Eulenspiegel Flying Circus im Waldorf-Schultheatersaal Leo 17 überwintert (Start: 1 mit Horst Evers)";0;0
21;Wir haben uns sogar auf einer Pilgerreise quer durch Spanien kennengelernt;0;0
22;Unterstützung erhalten Betroffene beispielsweise bei Wildwasser e.V.;1;0
23;Wegen der Corona-Pandemie hatten Millionen Amerikaner dieses Jahr aber per Brief abgestimmt, weshalb sich die Auszählung der Stimmen hinzog;1;0
24;Ein 20-Milliarden-Euro-Riesenbeschleuniger: Haben aktuell nicht ganz andere Forschungsfelder Priorität\?;0;0
25;So muss man etwa davon ausgehen, dass sehr viele Menschen, die keine oder leichte Symptome zeigen oder zeigten, infiziert sind oder waren, aber nicht in diese Statistik eingehen, weil sie nicht getestet werden beziehungsweise wurden;0;0
26;Die großen Entsorgungs-Lkw bleiben also öfter mal stecken - und die Abholung muss auf den nächsten Tag verschoben werden;0;0
27;Die Idee, dass selbst diese Pandemie den schlafwandelnd weiterbummelnden Koloss der Weltgeschichte nicht wecken konnte, sondern dass es alles wieder so weitergehen soll wie zuvor, ist mir ein Graus;0;0
28;"Aus Russland hat Argentinien mehrere Millionen Dosen des Impfstoffs ""Sputnik V"" geordert, mit anderen Herstellern ist das Land in Verhandlungen.";1;0
29;Wir haben für diese Sonderausgabe hochkarätige Autoren gewinnen können: *Bestsellerautor Gerhard Wisnewski beschreibt den Vormarsch des chinesischen Modells über WHO und Weltwirtschaftsforum;1;0
